ZONAS,UF: PARANÁ,IBGE,RESULTADO,CANDIDATO,VOTOS,LATITUDE SUL,LONGITUDE W-GR,LATITUDE_DECIMAL,LONGITUDE_DECIMAL
23,Carlopolis,4104709,515,BENTO MUNHOZ DA ROCHA NETO,7,23 º 25 ' 30 '' S,49 º 43 ' 15 '' W,-23.425,-49.72083333333334
24,Jacarezinho,4111803,2663,BENTO MUNHOZ DA ROCHA NETO,684,23 º 09 ' 38 '' S,49 º 58 ' 10 '' W,-23.160555555555554,-49.96944444444445
25,Cambara,4103602,1725,BENTO MUNHOZ DA ROCHA NETO,449,23 º 02 ' 47 '' S,50 º 04 ' 25 '' W,-23.04638888888889,-50.07361111111111
25,Andira,4101101,811,BENTO MUNHOZ DA ROCHA NETO,95,23 º 03 ' 02 '' S,50 º 13 ' 44 '' W,-23.050555555555555,-50.22888888888889
25,Bandeirantes,4102406,1065,BENTO MUNHOZ DA ROCHA NETO,168,23 º 06 ' 36 '' S,50 º 22 ' 03 '' W,-23.110000000000003,-50.3675
25,Santa Mariana,4123907,514,BENTO MUNHOZ DA ROCHA NETO,119,23 º 09 ' 03 '' S,50 º 31 ' 07 '' W,-23.15083333333333,-50.51861111111111
26,Cornelio Procopio,4106407,1880,BENTO MUNHOZ DA ROCHA NETO,776,23 º 10 ' 52 '' S,50 º 38 ' 48 '' W,-23.18111111111111,-50.64666666666667
27,Londrina,4113700,4316,BENTO MUNHOZ DA ROCHA NETO,1350,23 º 18 ' 37 '' S,51 º 09 ' 46 '' W,-23.310277777777777,-51.16277777777778
28,Apucarana,4101408,2142,BENTO MUNHOZ DA ROCHA NETO,402,23 º 33 ' 03 '' S,51 º 27 ' 39 '' W,-23.550833333333333,-51.46083333333333
28,Caviuna,4122404,1885,BENTO MUNHOZ DA ROCHA NETO,232,23 º 18 ' 35 '' S,51 º 22 ' 09 '' W,-23.309722222222224,-51.369166666666665
28,Mandaguari,4114203,197,BENTO MUNHOZ DA ROCHA NETO,27,23 º 32 ' 51 '' S,51 º 40 ' 15 '' W,-23.547500000000003,-51.670833333333334
29,Imbituva,4110102,1863,BENTO MUNHOZ DA ROCHA NETO,834,25 º 13 ' 48 '' S,50 º 36 ' 16 '' W,-25.229999999999997,-50.60444444444445
30,Prudentopolis,4120606,1662,BENTO MUNHOZ DA ROCHA NETO,111,25 º 12 ' 47 '' S,50 º 58 ' 40 '' W,-25.213055555555556,-50.97777777777778
31,Guarapuava,4109401,3624,BENTO MUNHOZ DA ROCHA NETO,750,25 º 23 ' 43 '' S,51 º 27 ' 29 '' W,-25.39527777777778,-51.45805555555556
32,Palmas,4117602,1553,BENTO MUNHOZ DA ROCHA NETO,289,26 º 29 ' 03 '' S,51 º 59 ' 26 '' W,-26.484166666666667,-51.99055555555556
